Function,Optimizer,SuccessRate,MinFx,MeanFx,StdFx,MeanEvals,MeanTimeMs
Sphere,AntAnnealingOptimizer,1,0.000E+000,0.000E+000,0.000E+000,6036001,923.4
Sphere,SimulatedAnnealingOptimizer,0,1.330E-007,9.540E-006,9.343E-006,10001,3.2
Sphere,GradientDescentOptimizer,1,1.594E-044,1.849E-044,1.394E-045,25001,4.3
Elliptic,AntAnnealingOptimizer,1,0.000E+000,0.000E+000,0.000E+000,6036001,1025.5
Elliptic,SimulatedAnnealingOptimizer,0,2.140E+000,2.160E+003,1.964E+003,10001,4.7
Elliptic,GradientDescentOptimizer,0,1.490E+007,3.305E+009,3.103E+009,25001,4.6
SumSquare,AntAnnealingOptimizer,1,0.000E+000,0.000E+000,0.000E+000,6036001,1091.1
SumSquare,SimulatedAnnealingOptimizer,0,7.861E-007,7.845E-006,6.763E-006,10001,4.0
SumSquare,GradientDescentOptimizer,1,1.788E-044,2.381E-044,3.674E-045,25001,3.8
sumPower,AntAnnealingOptimizer,1,0.000E+000,0.000E+000,0.000E+000,6036001,1593.5
sumPower,SimulatedAnnealingOptimizer,0.06666666666666667,5.934E-009,7.862E-007,1.203E-006,10001,5.5
sumPower,GradientDescentOptimizer,1,2.137E-009,2.326E-009,4.461E-011,25001,12.2
Schwefel 2.22,AntAnnealingOptimizer,1,0.000E+000,0.000E+000,0.000E+000,6036001,1175.3
Schwefel 2.22,SimulatedAnnealingOptimizer,0,2.778E-004,2.274E-003,1.171E-003,10001,4.3
Schwefel 2.22,GradientDescentOptimizer,0,2.141E-003,3.216E-002,1.401E-002,25001,4.3
Schwefel 2.21,AntAnnealingOptimizer,1,0.000E+000,0.000E+000,0.000E+000,6036001,1098.5
Schwefel 2.21,SimulatedAnnealingOptimizer,1,3.815E-004,1.983E-003,8.951E-004,10001,4.4
Schwefel 2.21,GradientDescentOptimizer,1,4.239E-003,1.639E-002,6.645E-003,25001,4.6
Step,AntAnnealingOptimizer,1,0.000E+000,0.000E+000,0.000E+000,6036001,1049.5
Step,SimulatedAnnealingOptimizer,0.7333333333333333,0.000E+000,7.337E+001,1.685E+002,10001,3.0
Step,GradientDescentOptimizer,0,5.330E+002,6.439E+003,4.125E+003,25001,4.3
Exponential,AntAnnealingOptimizer,0,4.540E-005,4.540E-005,2.068E-020,6036001,1117.2
Exponential,SimulatedAnnealingOptimizer,0,5.085E-005,3.658E-004,5.288E-004,10001,4.2
Exponential,GradientDescentOptimizer,0,4.540E-005,6.769E-003,4.086E-003,25001,4.7
Quartic,AntAnnealingOptimizer,1,0.000E+000,0.000E+000,0.000E+000,6036001,1303.5
Quartic,SimulatedAnnealingOptimizer,1,3.223E-012,8.122E-010,1.636E-009,10001,4.4
Quartic,GradientDescentOptimizer,1,3.108E-007,3.675E-007,1.553E-008,25001,7.0
Rosenbrock,AntAnnealingOptimizer,1,5.083E-016,1.284E-009,2.717E-009,6036001,1140.5
Rosenbrock,SimulatedAnnealingOptimizer,1,2.627E-010,1.332E-005,2.531E-005,10001,3.5
Rosenbrock,GradientDescentOptimizer,0,1.190E+002,1.198E+006,9.618E+005,25001,4.6
Rastrigin,AntAnnealingOptimizer,1,0.000E+000,0.000E+000,0.000E+000,6036001,1223.8
